src_ts,recv_ts,latency_ms
2025-09-05 19:13:46.544311+00:00,2025-09-05 19:14:29.159649+00:00,42615.338
2025-09-05 19:13:49.554806+00:00,2025-09-05 19:14:29.159964+00:00,39605.158
2025-09-05 19:13:52.565378+00:00,2025-09-05 19:14:29.160098+00:00,36594.72
2025-09-05 19:13:55.576009+00:00,2025-09-05 19:14:29.160201+00:00,33584.192
2025-09-05 19:13:58.586453+00:00,2025-09-05 19:14:29.160292+00:00,30573.839
2025-09-05 19:14:01.596888+00:00,2025-09-05 19:14:29.160376+00:00,27563.488
2025-09-05 19:14:04.607472+00:00,2025-09-05 19:14:29.160465+00:00,24552.993000000002
2025-09-05 19:14:07.618141+00:00,2025-09-05 19:14:29.160546+00:00,21542.405
2025-09-05 19:14:10.628692+00:00,2025-09-05 19:14:29.160630+00:00,18531.938000000002
2025-09-05 19:14:13.639043+00:00,2025-09-05 19:14:29.160714+00:00,15521.671
2025-09-05 19:14:16.649753+00:00,2025-09-05 19:14:29.160818+00:00,12511.065
2025-09-05 19:14:19.660369+00:00,2025-09-05 19:14:29.160908+00:00,9500.539
2025-09-05 19:14:22.670916+00:00,2025-09-05 19:14:29.160993+00:00,6490.077
2025-09-05 19:14:25.681615+00:00,2025-09-05 19:14:29.161075+00:00,3479.46
2025-09-05 19:14:28.692348+00:00,2025-09-05 19:14:29.161161+00:00,468.813
2025-09-05 19:14:31.702938+00:00,2025-09-05 19:14:31.707502+00:00,4.564
2025-09-05 19:14:34.713549+00:00,2025-09-05 19:14:34.718437+00:00,4.888
2025-09-05 19:14:37.724161+00:00,2025-09-05 19:14:37.728135+00:00,3.974
2025-09-05 19:14:40.734749+00:00,2025-09-05 19:14:40.738993+00:00,4.244000000000001
2025-09-05 19:14:43.745297+00:00,2025-09-05 19:14:43.749195+00:00,3.898
2025-09-05 19:14:46.755872+00:00,2025-09-05 19:14:46.760171+00:00,4.2989999999999995
2025-09-05 19:14:49.766362+00:00,2025-09-05 19:14:49.770373+00:00,4.011
2025-09-05 19:14:52.776806+00:00,2025-09-05 19:14:52.781085+00:00,4.279
2025-09-05 19:14:55.787341+00:00,2025-09-05 19:14:55.791034+00:00,3.693
2025-09-05 19:14:58.797812+00:00,2025-09-05 19:14:58.956631+00:00,158.819
2025-09-05 19:15:01.808369+00:00,2025-09-05 19:15:01.812216+00:00,3.847
2025-09-05 19:15:04.819001+00:00,2025-09-05 19:15:04.822952+00:00,3.9509999999999996
2025-09-05 19:15:07.829518+00:00,2025-09-05 19:15:07.833505+00:00,3.987
2025-09-05 19:15:10.840004+00:00,2025-09-05 19:15:10.843905+00:00,3.901
2025-09-05 19:15:13.850506+00:00,2025-09-05 19:15:13.854642+00:00,4.136
